customer_id,name,email,dob,signup_date,location_id,action
C4055,Richard Meadows,nelsonphillip@example.com,1985-05-08,2005-06-19,L077,delete
C2914,Harold Walsh,judy98@example.com,1959-07-02,1974-02-15,L038,update
C3147,Shawn Mann,michelle14@example.org,2004-09-26,2022-03-19,L048,update
C6911,Todd Sexton,spowers@example.com,1992-09-08,2016-05-09,L067,update
C2987,Brandi Henson,johnsongeorge@example.net,2002-09-05,2015-09-25,L075,update
C0001,Courtney Miller,,1992-05-09,2007-01-18,,insert
C6710,Monica Beltran,james78@example.net,1968-08-26,2013-05-26,L022,update
C5675,Julia Ramirez,courtneylam@example.com,2002-11-20,2021-06-27,L096,update
C0001,Alexis Mathis,,1979-03-18,2007-07-15,,insert
C9635,Courtney Wallace,yoderlindsay@example.org,1970-04-20,1989-02-28,L087,update
C5155,Julie Baxter,xswanson@example.org,1973-12-01,2003-07-03,L062,delete
C0001,Charles Valenzuela,,1963-03-26,1972-01-30,,insert
C7023,Maria Mays,kimberly42@example.org,1975-11-22,2024-11-28,L059,delete
C0001,Shawn Gross,,2005-03-18,2009-10-01,,insert
C0001,Jaclyn Spencer,,1960-09-06,1961-08-31,,insert
C0001,Hannah Black,,2002-09-03,2009-10-13,,insert
C0001,Kyle Andrade,,1996-01-05,2009-04-03,,insert
C1471,Betty Grant,qrodriguez@example.org,1993-04-10,2004-11-01,L064,delete
C0504,Jessica Jenkins,kelsey97@example.org,1971-02-27,2008-01-08,L066,update
C5735,Kristin Hernandez,ghorn@example.com,1991-11-18,1995-04-06,L010,update
C4543,Steven Newman,iandavenport@example.net,1987-01-17,2003-10-08,L043,update
C9661,Christopher Gonzalez,brucewade@example.com,1988-03-27,2002-04-23,L055,update
C7523,Elizabeth Alvarez,zmcclure@example.net,1957-12-02,1991-12-15,L057,delete
C5566,Mark Davis,wsalas@example.net,2006-11-30,2018-08-29,L078,update
C0834,Terry Garcia,ozimmerman@example.net,2003-01-30,2020-09-21,L023,update
C8788,Regina Harris,charles02@example.com,1974-08-20,1995-01-09,L091,update
C0383,Hannah Smith,haleyjohnson@example.net,1980-01-04,1980-03-09,L071,update
C8782,Sara Hunter,wwilliams@example.com,1962-08-07,2001-08-07,L063,update
C1018,Kevin Gallagher,michellelopez@example.com,1979-04-11,2002-05-16,L031,delete
C0001,Travis Hebert,,1954-07-04,1964-08-30,,insert
